,customer_id,item_id,bill_number,quantity,spend_value,purchase_date,file_name
64,75013362,100000974,304672,1,50.0,9/27/2018,December
65,75013376,118000180A00,7736579,1,5.0,9/28/2018,January
66,75016771,186000025A00,1368603,1,14.123,9/29/2018,February
67,75013376,100002477A00,7736030,1,14.0,9/30/2018,March
68,75023557,206000004A00,85766,1,6.678,10/1/2018,April
69,75014283,193000082A00,1281163,1,10.0,10/2/2018,May
70,75016773,192000088A00,493959,1,9.25,10/3/2018,June
71,75016373,198000047A00,742931,1,6.0,10/4/2018,July
72,75013376,100002227A00,7737106,1,9.0,10/5/2018,August
73,75016769,102000229A00,42223563,1,20.454,10/6/2018,September
74,75013360,188000001,217810,1,45.0,10/7/2018,October
75,75016726,115000244A00,16561191,1,2.73,10/8/2018,November
76,75013376,118000148A00,7735505,1,25.0,10/9/2018,December
77,75013356,100002468A00,16070476,1,7.0,10/10/2018,January
78,75016373,198000016,110335,1,100.0,10/11/2018,February
79,75023557,206000040,21971,1,95.4,10/12/2018,March
81,75013374,104000003A00,23133535,1,12.0,10/14/2018,May
82,75013374,104000054A00,23135027,1,9.0,10/15/2018,June
83,75016771,186000088B00,1368491,1,7.792000000000001,10/16/2018,July
84,75016738,106000690,8931119,1,6.095,10/17/2018,August
86,75016751,165000218A00,12190839,1,6.24,10/19/2018,October
87,75013801,189000030A00,3235143,1,110.0,10/20/2018,November
88,75016751,165000079A00,12194256,1,6.24,10/21/2018,December
89,75016723,170001097,3050931,1,73.5,10/22/2018,January
90,75016726,115000247A00,16563014,1,4.2,10/23/2018,February
91,75013384,100002309A00,20367219,1,7.0,10/24/2018,March
92,75016721,116000083,5113779,1,2.1,10/25/2018,April
93,75013801,189000059A00,3233401,1,12.0,10/26/2018,May
94,75016721,116000083,5112181,1,2.1,10/27/2018,June
95,75013360,188000023A00,1450015,1,12.0,10/28/2018,July
96,75013374,104000147A00,23135426,1,16.0,10/29/2018,August
97,75013356,103000068A00,16072178,1,15.0,10/30/2018,September
98,75016760,171000843,5706498,1,47.7,10/31/2018,October
99,75013801,189000042A00,3234168,1,9.0,11/1/2018,November
100,75013376,118000035C00,7737267,1,11.0,11/2/2018,December
101,75013374,104000015B00,23132689,1,10.0,11/3/2018,January
102,75016726,115000194A00,16556614,1,1.05,11/4/2018,February
103,75013801,189000043B00,3234678,1,15.0,11/5/2018,March
104,75016723,170001096,3050419,1,10.5,11/6/2018,April
105,75016751,165000173A00,12194247,1,6.0,11/7/2018,May
106,75013801,189000005A00,3235010,1,10.0,11/8/2018,June
107,75016745,163000010A00,6288258,1,9.86385,11/9/2018,July
108,75016751,165000026,1962794,1,72.0,11/10/2018,August
110,75013384,100002266A00,20367062,1,14.0,11/12/2018,October
111,75013360,188000127A00,1450018,1,13.0,11/13/2018,November
112,75013374,104000156A00,23134072,1,7.0,11/14/2018,December
113,75016723,170000101,3050724,1,2.0979,11/15/2018,January
114,75016760,109000295A00,24885315,1,11.448,11/16/2018,February
115,75016912,101101013,71629-101,1,60.732,11/17/2018,March
116,75016721,116001463,5112925,1,47.25,11/18/2018,April
117,75016751,165000133A00,12192918,1,21.6,11/19/2018,May
118,75016751,165000100A00,12189378,1,13.2,11/20/2018,June
119,75016373,198000025A00,743634,1,7.0,11/21/2018,July
120,75016373,198000017B00,742297,1,7.0,11/22/2018,August
121,75013376,118000113A00,7735921,1,10.0,11/23/2018,September
122,75016771,186000026A00,1367479,1,10.714,11/24/2018,October
123,75013374,104000158B00,23136401,1,10.0,11/25/2018,November
124,75013360,188000112B00,1450047,1,9.0,11/26/2018,December
125,75016726,115000093A00,16561250,1,3.15,11/27/2018,January
126,75016773,192000085A00,494214,1,12.95,11/28/2018,February
127,75013364,161000007A00,584830,1,9.0,11/29/2018,March
128,75016751,165000221A00,12195474,1,30.72,11/30/2018,April
129,75016751,165000221A00,12192717,1,30.72,12/1/2018,May
130,75016721,116001461,5112373,1,10.5,12/2/2018,June
131,75016760,109000244A00,24886653,1,9.54,12/3/2018,July
133,75013376,100002227A00,7736647,1,9.0,12/5/2018,September
134,75013374,104000011A00,23134095,1,10.0,12/6/2018,October
135,75016771,187000081,247871,1,29.22,12/7/2018,November
136,75013356,103000024A00,16072078,1,12.0,12/8/2018,December
137,75016373,198000033A00,742066,1,15.0,12/9/2018,January
138,75013374,104000172A00,23135099,1,40.0,12/10/2018,February
139,75013374,104000172A00,23135618,1,40.0,12/11/2018,March
140,75016726,115000093A00,16554178,1,2.73,12/12/2018,April
141,75016760,113,24886930,1,6.8688,12/13/2018,May
142,75016760,109000039,5705569,1,97.30799999999999,12/14/2018,June
143,75016373,198000058A00,743494,1,15.0,12/15/2018,July
144,75013370,185000073A00,432887,1,10.0,12/16/2018,August
145,75016751,165000064A00,12195503,1,10.2,12/17/2018,September
146,75016769,102000226A00,42228280,1,9.253,12/18/2018,October
147,75016760,109000407A00,24886875,1,10.494000000000002,12/19/2018,November
148,75013384,101000041A00,20367305,1,9.0,12/20/2018,December
149,75013374,000815A,23136053,1,14.0,12/21/2018,January
150,75016721,116001463,5112586,1,47.25,12/22/2018,February
151,75016751,165000191A00,12194846,1,9.84,12/23/2018,March
152,75016773,192000056A00,494531,1,7.03,12/24/2018,April
153,75016760,109000039,5706540,1,95.4,12/25/2018,May
154,75013356,103000060A00,16071097,1,15.0,12/26/2018,June
155,75013374,100002336A00,23134235,1,15.0,12/27/2018,July
156,75013356,103000007A00,16070927,1,8.0,12/28/2018,August
157,75016751,165002196,1963306,1,108.0,12/29/2018,September
158,75016723,170001099,3049327,1,47.25,12/30/2018,October
159,75016751,165000154A00,12194025,1,11.76,12/31/2018,November
160,75016771,186000004C00,1367580,1,6.818,1/1/2019,December
161,75016912,10200103,71648-101,4,36.834,1/2/2019,January
162,75014283,193000029A00,1281491,1,7.0,1/3/2019,February
163,75016751,165000217A00,12189111,1,11.4,1/4/2019,March
164,75013356,103000057A00,16070260,1,9.0,1/5/2019,April
165,75016769,102000200B00,42223980,1,12.175,1/6/2019,May
166,75016745,163000160A00,6289447,1,9.86385,1/7/2019,June
167,75013384,100009960,3005620,1,50.0,1/8/2019,July
168,75013376,100002477A00,7735632,1,13.0,1/9/2019,August
169,75014283,193000032A00,1281911,1,12.0,1/10/2019,September
170,75016760,171000843,5706155,1,9.54,1/11/2019,October
171,75016745,163000100A00,6289492,1,5.71065,1/12/2019,November
172,75016760,171000843,5705099,1,9.54,1/13/2019,December
173,75016760,109000218A00,24887529,1,6.678,1/14/2019,January
174,75016912,101102023,27247-106,1,85.8585,1/15/2019,February
175,75016373,198000058A00,743268,1,15.0,1/16/2019,March
176,75013356,100010338,3214653,1,105.0,1/17/2019,April
177,75016751,165000194A00,12189398,1,6.24,1/18/2019,May
178,75013360,188000021A00,1451140,1,13.0,1/19/2019,June
179,75016721,116000083,5113652,1,2.1,1/20/2019,July
180,75013376,118000116A00,7735828,1,15.0,1/21/2019,August
181,75013376,100001765A00,7737198,1,10.0,1/22/2019,September
182,75013801,112000058B00,3233722,1,10.0,1/23/2019,October
183,75016373,198000025A00,743448,1,7.0,1/24/2019,November
184,75016726,115000176A00,16560150,1,2.1,1/25/2019,December
186,75016773,192000088A00,493958,1,9.25,1/27/2019,February
187,75013384,101000070,3005780,1,5.0,1/28/2019,March
188,75016726,115000247A00,16559146,1,4.2,1/29/2019,April
189,75016751,165000147A00,12196433,1,12.24,1/30/2019,May
190,75013376,118000133A00,7735794,1,7.0,1/31/2019,June
191,75013374,104000019A00,23132770,1,7.0,2/1/2019,July
192,75016751,165000157A00,12189063,1,9.36,2/2/2019,August
193,75013804,112000247,6803586,1,5.0,2/3/2019,September
194,75016721,116001464,5112279,1,26.25,2/4/2019,October
195,75014283,193000074A00,1281534,1,15.0,2/5/2019,November
196,75023557,206000002A00,85537,1,7.632000000000001,2/6/2019,December
197,75013356,100002171A00,16070717,1,12.0,2/7/2019,January
198,75016751,165000020A00,12189698,1,10.8,2/8/2019,February
199,75016373,198000026A00,743467,1,9.0,2/9/2019,March
